delivery_point,date,delivery_address,percentageBusy,percentageAvailable,appointmentTime,availability
CCD9,07-11-2017,Paraguay 5170,94.11764705882354,5.882352941176471,10:00,1
CCD9,07-11-2017,Paraguay 5170,100,0,10:30,0
CCD9,07-11-2017,Paraguay 5170,100,0,11:00,0
CCD9,07-11-2017,Paraguay 5170,100,0,11:30,0
CCD9,07-11-2017,Paraguay 5170,65,35,12:30,7
CCD9,07-11-2017,Paraguay 5170,26.315789473684205,73.6842105263158,13:00,14
CCD9,07-11-2017,Paraguay 5170,0,100,13:30,20
CCD9,07-11-2017,Paraguay 5170,47.36842105263158,52.63157894736842,14:00,10
CCD9,07-11-2017,Paraguay 5170,10,90,14:30,18
CCD9,07-11-2017,Paraguay 5170,94.73684210526315,5.2631578947368425,15:00,1
